tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.371363, 0.423056, 0.42336, 0.425244, 0.544977, 0.545042, 0.652206
tefreqs:, 2, -0.0666667, 0.0666667, 0, 0.133333, 0.0515696, 0.363091, 0.407836, 0.425999, 0.430888, 0.548662, 0.559723, 0.636861
tefreqs:, 3, -0.133333, 0.133333, 0, 0.266667, 0.102201, 0.345874, 0.372479, 0.432748, 0.446383, 0.558859, 0.577942, 0.623007
tefreqs:, 4, -0.2, 0.2, 0, 0.4, 0.150335, 0.326936, 0.333833, 0.443564, 0.463908, 0.558613, 0.572925, 0.64695
tefreqs:, 5, -0.266667, 0.266667, 0, 0.533333, 0.191472, 0.301533, 0.309201, 0.457211, 0.481955, 0.527417, 0.585822, 0.64857
tefreqs:, 6, -0.333333, 0.333333, 0, 0.666667, 0.209753, 0.294277, 0.29436, 0.467448, 0.499706, 0.499798, 0.590738, 0.653413
tefreqs:, 7, -0.266667, 0.366667, 0, 0.635959, 0.206316, 0.288381, 0.304873, 0.461833, 0.49668, 0.508119, 0.589793, 0.648025
tefreqs:, 8, -0.2, 0.4, 0, 0.61101, 0.199384, 0.283628, 0.320322, 0.448377, 0.501151, 0.515665, 0.587543, 0.642232
tefreqs:, 9, -0.133333, 0.433333, 0, 0.592546, 0.192614, 0.280152, 0.336897, 0.433083, 0.506997, 0.521912, 0.584908, 0.636662
tefreqs:, 10, -0.0666667, 0.466667, 0, 0.581187, 0.187933, 0.278034, 0.351293, 0.419552, 0.511463, 0.526166, 0.58278, 0.632467
tefreqs:, 11, 0, 0.5, 0, 0.57735, 0.186278, 0.277322, 0.357787, 0.413369, 0.513133, 0.527697, 0.581954, 0.630877
tefreqs:, 12, 0, 0.4, 0, 0.46188, 0.168046, 0.293665, 0.360684, 0.414211, 0.493835, 0.547374, 0.576692, 0.63704
tefreqs:, 13, 0, 0.3, 0, 0.34641, 0.131031, 0.323541, 0.370343, 0.4165, 0.470136, 0.565923, 0.570453, 0.650692
tefreqs:, 14, 0, 0.2, 0, 0.23094, 0.0887584, 0.34887, 0.389337, 0.41951, 0.448484, 0.555302, 0.576191, 0.623631
tefreqs:, 15, 0, 0.1, 0, 0.11547, 0.0446957, 0.364895, 0.413086, 0.42212, 0.431144, 0.547738, 0.55652, 0.639909
tefreqs:, 16, 0, 0, 0, 0, 0, 0.371363, 0.423056, 0.42336, 0.425244, 0.544977, 0.545042, 0.652206
