tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.34144, 0.354326, 0.354402, 0.424821, 0.425051, 0.562852, 0.639858
tmfreqs:, 2, -0.0666667, 0.0666667, 0, 0.133333, 0.046451, 0.318195, 0.349528, 0.372963, 0.423849, 0.432896, 0.567384, 0.61108
tmfreqs:, 3, -0.133333, 0.133333, 0, 0.266667, 0.0923128, 0.288229, 0.334851, 0.390784, 0.425011, 0.454498, 0.56371, 0.589468
tmfreqs:, 4, -0.2, 0.2, 0, 0.4, 0.136746, 0.258815, 0.313055, 0.406454, 0.432004, 0.483911, 0.532732, 0.584063
tmfreqs:, 5, -0.266667, 0.266667, 0, 0.533333, 0.177836, 0.231747, 0.290742, 0.423029, 0.442535, 0.498942, 0.515841, 0.573422
tmfreqs:, 6, -0.333333, 0.333333, 0, 0.666667, 0.208675, 0.20872, 0.279012, 0.441272, 0.441322, 0.479909, 0.538289, 0.560044
tmfreqs:, 7, -0.266667, 0.366667, 0, 0.635959, 0.199279, 0.215312, 0.283082, 0.428274, 0.451, 0.483638, 0.533192, 0.552974
tmfreqs:, 8, -0.2, 0.4, 0, 0.61101, 0.191611, 0.215927, 0.294223, 0.411843, 0.460973, 0.49123, 0.524301, 0.545362
tmfreqs:, 9, -0.133333, 0.433333, 0, 0.592546, 0.185922, 0.213961, 0.308925, 0.394856, 0.471035, 0.500034, 0.514651, 0.5374
tmfreqs:, 10, -0.0666667, 0.466667, 0, 0.581187, 0.182417, 0.211996, 0.32338, 0.379538, 0.480731, 0.505141, 0.508893, 0.529305
tmfreqs:, 11, 0, 0.5, 0, 0.57735, 0.181233, 0.21123, 0.330755, 0.371945, 0.486754, 0.499176, 0.514733, 0.523756
tmfreqs:, 12, 0, 0.4, 0, 0.46188, 0.156192, 0.234307, 0.332444, 0.373897, 0.470623, 0.484625, 0.53125, 0.539414
tmfreqs:, 13, 0, 0.3, 0, 0.34641, 0.119129, 0.265527, 0.337239, 0.378469, 0.447656, 0.463784, 0.554889, 0.5638
tmfreqs:, 14, 0, 0.2, 0, 0.23094, 0.0801209, 0.295021, 0.344186, 0.380173, 0.429959, 0.444848, 0.569469, 0.589552
tmfreqs:, 15, 0, 0.1, 0, 0.11547, 0.0402479, 0.321997, 0.351154, 0.369814, 0.424429, 0.430614, 0.56646, 0.615812
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.34144, 0.354326, 0.354402, 0.424821, 0.425051, 0.562852, 0.639858
