zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2, zeven band 3, zeven band 4, zeven band 5, zeven band 6, zeven band 7, zeven band 8, zeven band 9
zevenfreqs:, 1, 0, 0, 0, 0, 0, 0.177912, 0.177962, 0.412118, 0.412149, 0.425114, 0.477341, 0.477688, 0.481428
zevenfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0837605, 0.203514, 0.209728, 0.4191, 0.42444, 0.424938, 0.472264, 0.477272, 0.484757
zevenfreqs:, 3, 0, 0.2, 0, 0.23094, 0.147709, 0.27566, 0.283567, 0.40601, 0.440825, 0.454482, 0.473897, 0.48114, 0.50077
zevenfreqs:, 4, 0, 0.3, 0, 0.34641, 0.19494, 0.370526, 0.371732, 0.388503, 0.427906, 0.468243, 0.517713, 0.518186, 0.529508
zevenfreqs:, 5, 0, 0.4, 0, 0.46188, 0.230915, 0.360628, 0.418325, 0.444037, 0.481881, 0.486373, 0.542302, 0.574323, 0.59104
zevenfreqs:, 6, 0, 0.5, 0, 0.57735, 0.246892, 0.348155, 0.415641, 0.455422, 0.545893, 0.549398, 0.561636, 0.572211, 0.58943
zevenfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.248518, 0.348591, 0.408946, 0.462395, 0.547373, 0.54817, 0.563246, 0.571512, 0.592942
zevenfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.253072, 0.349924, 0.395438, 0.47686, 0.544598, 0.550258, 0.567957, 0.570818, 0.603247
zevenfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.259529, 0.352203, 0.380885, 0.493446, 0.539318, 0.549671, 0.574593, 0.575098, 0.619421
zevenfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.265921, 0.355473, 0.367987, 0.510065, 0.533643, 0.543851, 0.583531, 0.583831, 0.612202
zevenfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.268967, 0.359709, 0.359756, 0.519682, 0.534583, 0.534829, 0.592215, 0.592372, 0.597494
zevenfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.253113, 0.366742, 0.370992, 0.501439, 0.50846, 0.545275, 0.549241, 0.566875, 0.607917
zevenfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.214511, 0.383051, 0.393314, 0.419099, 0.425618, 0.495925, 0.510329, 0.546981, 0.557425
zevenfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.163713, 0.304263, 0.310116, 0.403733, 0.428291, 0.471476, 0.484705, 0.48951, 0.503621
zevenfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0951521, 0.211969, 0.219266, 0.417847, 0.427523, 0.429088, 0.468705, 0.480444, 0.485022
zevenfreqs:, 16, 0, 0, 0, 0, 0, 0.177912, 0.177962, 0.412119, 0.412149, 0.425114, 0.477341, 0.477688, 0.481428
