tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.727845, 0.788088, 0.920961, 0.922085, 1.01687, 1.01845, 1.24337
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.10214, 0.723854, 0.784332, 0.900771, 0.902155, 1.03144, 1.03948, 1.2036
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.203735, 0.707761, 0.769484, 0.867508, 0.869257, 1.05383, 1.07964, 1.17834
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.304067, 0.663675, 0.75048, 0.840899, 0.85049, 1.07273, 1.11526, 1.16655
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.401691, 0.590457, 0.741009, 0.822518, 0.84569, 1.08497, 1.13738, 1.16665
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.478397, 0.520318, 0.738393, 0.816173, 0.844859, 1.08909, 1.14451, 1.17202
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.48205, 0.522761, 0.727295, 0.819868, 0.844497, 1.09131, 1.14544, 1.17197
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.492796, 0.529981, 0.69937, 0.82667, 0.843482, 1.09673, 1.14811, 1.17183
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.510012, 0.541662, 0.661523, 0.832379, 0.841947, 1.10264, 1.15222, 1.17171
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.532564, 0.557306, 0.617759, 0.836201, 0.840118, 1.10684, 1.15685, 1.1722
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.553509, 0.57602, 0.576336, 0.838242, 0.838556, 1.10835, 1.15937, 1.17498
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.461593, 0.620594, 0.628556, 0.836746, 0.840202, 1.10228, 1.15102, 1.16591
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.350141, 0.666671, 0.698454, 0.841979, 0.843343, 1.08599, 1.12874, 1.16367
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.234979, 0.703081, 0.756416, 0.858378, 0.861716, 1.0625, 1.09087, 1.1734
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.117907, 0.722467, 0.782825, 0.895483, 0.896999, 1.03533, 1.04486, 1.19885
tefreqs:, 16, 0, 0, 0, 0, 0, 0.727845, 0.788088, 0.920961, 0.922085, 1.01687, 1.01845, 1.24334
