tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.429848, 0.72559, 0.725871, 0.769398, 0.785279, 0.785658, 1.14932
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0718091, 0.426256, 0.719077, 0.721195, 0.746706, 0.789405, 0.817423, 1.1362
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.141741, 0.415465, 0.686677, 0.711385, 0.749716, 0.79757, 0.853936, 1.10829
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.20751, 0.397084, 0.652562, 0.701411, 0.762486, 0.805503, 0.884623, 1.08016
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.265341, 0.370741, 0.628064, 0.694375, 0.774438, 0.810881, 0.90516, 1.06067
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.29861, 0.348622, 0.619112, 0.691863, 0.779379, 0.812758, 0.912256, 1.05404
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.300268, 0.34895, 0.613584, 0.697444, 0.77731, 0.813624, 0.911843, 1.05612
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.305133, 0.349455, 0.601266, 0.710158, 0.771875, 0.815569, 0.910763, 1.06226
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.312896, 0.348732, 0.588291, 0.724572, 0.764453, 0.817539, 0.909459, 1.0721
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.323089, 0.344682, 0.578717, 0.737675, 0.756131, 0.818898, 0.908501, 1.08513
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.335117, 0.335185, 0.575171, 0.747622, 0.747877, 0.819365, 0.908267, 1.10053
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.29626, 0.362261, 0.589196, 0.732899, 0.756464, 0.817346, 0.906977, 1.07543
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.235812, 0.389044, 0.624419, 0.723246, 0.753158, 0.811064, 0.894195, 1.07529
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.162664, 0.41101, 0.66948, 0.720558, 0.745707, 0.801251, 0.86394, 1.09993
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0828005, 0.425068, 0.71283, 0.723369, 0.744337, 0.790724, 0.823156, 1.13248
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.429848, 0.72559, 0.725871, 0.769398, 0.785279, 0.785658, 1.14937
