tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.536452, 0.606498, 0.748488, 0.749246, 0.816293, 0.817387, 1.01225
tefreqs:, 2, -0.0666667, 0.0666667, 0, 0.133333, 0.102949, 0.534088, 0.602996, 0.737718, 0.739053, 0.824043, 0.827283, 0.988886
tefreqs:, 3, -0.133333, 0.133333, 0, 0.266667, 0.203926, 0.526283, 0.589084, 0.718546, 0.720194, 0.837274, 0.846659, 0.946126
tefreqs:, 4, -0.2, 0.2, 0, 0.4, 0.300508, 0.511925, 0.558561, 0.705204, 0.705665, 0.847433, 0.86606, 0.909657
tefreqs:, 5, -0.266667, 0.266667, 0, 0.533333, 0.389269, 0.491957, 0.513471, 0.698474, 0.70113, 0.853148, 0.875363, 0.896545
tefreqs:, 6, -0.333333, 0.333333, 0, 0.666667, 0.459332, 0.470349, 0.470443, 0.698961, 0.699041, 0.854992, 0.871839, 0.913212
tefreqs:, 7, -0.266667, 0.366667, 0, 0.635959, 0.440777, 0.460659, 0.497948, 0.697076, 0.700904, 0.854552, 0.872864, 0.902881
tefreqs:, 8, -0.2, 0.4, 0, 0.61101, 0.421673, 0.452378, 0.523834, 0.694493, 0.703231, 0.853392, 0.875237, 0.894933
tefreqs:, 9, -0.133333, 0.433333, 0, 0.592546, 0.406878, 0.446083, 0.543504, 0.6917, 0.705411, 0.85185, 0.877794, 0.889481
tefreqs:, 10, -0.0666667, 0.466667, 0, 0.581187, 0.397525, 0.44215, 0.555905, 0.689453, 0.706957, 0.850513, 0.87964, 0.886397
tefreqs:, 11, 0, 0.5, 0, 0.57735, 0.394323, 0.44081, 0.560169, 0.688568, 0.707517, 0.849982, 0.880309, 0.885416
tefreqs:, 12, 0, 0.4, 0, 0.46188, 0.341054, 0.479696, 0.564571, 0.692868, 0.708841, 0.848156, 0.873323, 0.895382
tefreqs:, 13, 0, 0.3, 0, 0.34641, 0.262131, 0.513555, 0.578429, 0.704971, 0.714415, 0.842607, 0.859094, 0.919989
tefreqs:, 14, 0, 0.2, 0, 0.23094, 0.177169, 0.528582, 0.594688, 0.722374, 0.72631, 0.833438, 0.841497, 0.955914
tefreqs:, 15, 0, 0.1, 0, 0.11547, 0.0892322, 0.53469, 0.603934, 0.74007, 0.741346, 0.822425, 0.824998, 0.993671
tefreqs:, 16, 0, 0, 0, 0, 0, 0.536452, 0.606498, 0.748488, 0.749246, 0.816293, 0.817387, 1.01225
