tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.371679, 0.533765, 0.534, 0.600946, 0.601097, 0.746533, 0.867537
tmfreqs:, 2, -0.0666667, 0.0666667, 0, 0.133333, 0.0654994, 0.365644, 0.528398, 0.534594, 0.594991, 0.606042, 0.759337, 0.856423
tmfreqs:, 3, -0.133333, 0.133333, 0, 0.266667, 0.129066, 0.348912, 0.509474, 0.538245, 0.588285, 0.617378, 0.786311, 0.839639
tmfreqs:, 4, -0.2, 0.2, 0, 0.4, 0.188214, 0.325032, 0.480523, 0.546869, 0.587632, 0.629111, 0.795057, 0.844685
tmfreqs:, 5, -0.266667, 0.266667, 0, 0.533333, 0.238741, 0.298343, 0.453406, 0.560013, 0.586113, 0.637179, 0.782505, 0.861945
tmfreqs:, 6, -0.333333, 0.333333, 0, 0.666667, 0.273014, 0.273075, 0.441456, 0.575726, 0.575914, 0.6399, 0.776566, 0.86071
tmfreqs:, 7, -0.266667, 0.366667, 0, 0.635959, 0.262176, 0.281761, 0.444814, 0.566027, 0.584024, 0.639268, 0.778031, 0.857909
tmfreqs:, 8, -0.2, 0.4, 0, 0.61101, 0.253139, 0.285434, 0.454351, 0.553283, 0.591983, 0.637493, 0.781993, 0.853824
tmfreqs:, 9, -0.133333, 0.433333, 0, 0.592546, 0.246334, 0.28601, 0.468396, 0.538199, 0.599121, 0.634924, 0.787295, 0.849204
tmfreqs:, 10, -0.0666667, 0.466667, 0, 0.581187, 0.242101, 0.285479, 0.484921, 0.521575, 0.604539, 0.632314, 0.792133, 0.845059
tmfreqs:, 11, 0, 0.5, 0, 0.57735, 0.240663, 0.285154, 0.499034, 0.507514, 0.606704, 0.631097, 0.79418, 0.84328
tmfreqs:, 12, 0, 0.4, 0, 0.46188, 0.212587, 0.306243, 0.503848, 0.509491, 0.603216, 0.628732, 0.797648, 0.844815
tmfreqs:, 13, 0, 0.3, 0, 0.34641, 0.165162, 0.333333, 0.515028, 0.516107, 0.595682, 0.622212, 0.798884, 0.83873
tmfreqs:, 14, 0, 0.2, 0, 0.23094, 0.112346, 0.354033, 0.522858, 0.528728, 0.591563, 0.613233, 0.779273, 0.844681
tmfreqs:, 15, 0, 0.1, 0, 0.11547, 0.0567913, 0.367124, 0.530447, 0.533741, 0.596363, 0.60476, 0.756381, 0.858942
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.371679, 0.533765, 0.534, 0.600946, 0.601097, 0.746533, 0.867537
